created_at,text,sentiment,lang
2023-02-11 17:24:33+00:00,Pregnant Kate Ferdinand pokes fun at her growing bump in funny snaps https://t.co/Tx0W83CT4D,0.7845,en
2023-02-11 17:24:31+00:00,Pregnant Kate Ferdinand pokes fun at her growing bump in funny snaps https://t.co/7qy75vA3hC,0.7845,en
2023-02-11 17:24:23+00:00,@SpeakerShinjini I m pregnant,0.0,sl
2023-02-11 17:24:22+00:00,@nguma__ We don't have pregnant women,0.0,en
2023-02-11 17:24:20+00:00,@suzannedecocq @restorehopeUSA1 @The_Trump_Train Men get pregnant? You must be a liberal. https://t.co/MaBGKYynYo,0.0,en
2023-02-11 17:24:14+00:00,Pregnant my ass zeus be having them do whatever lol https://t.co/HUKCzpNHAL,-0.1779,en
2023-02-11 17:24:12+00:00,"@mizroc100 @ju1ius6 @queenyegypt @layxsnv I’m not sure why folks conflate personal opinion with fact, just chiming in here knowing no matter what BW are scrutinized for everything at a higher level during pregnancy. And as a Certified Full Spectrum Doula, it is okay to exercise and lift during pregnancy, so as long-",-0.2874,en
2023-02-11 17:24:11+00:00,"Yesterday My manager asked me what’s the hardest part about being pregnant because hers was that she couldn’t smoke. I looked her dead in her face and said coming to come work, everyday I wanna call out lmao 🤣",-0.1027,en
2023-02-11 17:24:11+00:00,"@chikezirimjoyce A king whose kingdom is conquered ceases to be a king. Same with when your woman cheats.. it means another man conquered her and by extension, you. The thought is crazy. Also, cheating is more detrimental to men.. she might pin a pregnancy on you which is not yours.. crazy shit.",-0.6679,en
2023-02-11 17:24:09+00:00,"hanging out and talking with my grandma, she shows me a pic of her, my grandpa, and great grandma at my parents’ wedding - grandpa was PISSED and they didn’t know mom was pregnant with me lmao 💀",0.4708,en
2023-02-11 17:24:09+00:00,Wildfire smoke exposure in pregnancy raises risk of preterm birth https://t.co/bXYu28zKOm,-0.2732,en
2023-02-11 17:24:07+00:00,"‘Unthinkable’: Man kills 22-year-old pregnant mom and unborn child, Florida cops say 

A 22-year-old pregnant mom thought she was going to a party before she was found dead in a Florida subdivision, officials said

https://t.co/3L07W055Gk",-0.7269,en
2023-02-11 17:24:07+00:00,@violetwidow131 Gotta love the pregnant man in the background!,0.6696,en
2023-02-11 17:24:04+00:00,"@Kdubtru Between a third and a half of fertilized zygotes will not implant and will spontaneously abort.  https://t.co/Lutn5q7NTl   Why don’t you do something about your God before peddling lies and propaganda, that trivialize the magnitude of evil of lynchings of adult humans.",-0.8481,en
2023-02-11 17:24:02+00:00,If that girl comes from chobe nga she ain't pregnant that mans shoots blanks,0.0,en
2023-02-11 17:23:59+00:00,Pregnancy is really beautiful to me like wow a little human is inside of you,0.8883,en
2023-02-11 17:23:55+00:00,@Awake_96_ @JebraFaushay nope thats an intersex pregnant person cant exchange binary gender tho can alter to intersex biologic gender is more than gene its hormone&amp;anatomy too.,0.0,en
2023-02-11 17:23:51+00:00,But you don’t want to get me pregnant anymore? 🥺 https://t.co/c1b3DAzpQZ,0.1154,en
2023-02-11 17:23:46+00:00,"@SkeptikH @LimJimbo_ @BobPersis @JoeBiden Great attempt at a mom joke, what are you 15? If you don’t like the personal consequences of sex then don’t have sex, men can’t get pregnant women can,Aborting a baby because you don’t want it is murder for your mistake. If you kill a pregnant woman is it one count or two?",-0.6199,en
2023-02-11 17:23:45+00:00,I can't get over how good my man looked on our anniversary like damn I shoulda got him pregnant,0.4019,en
2023-02-11 17:23:40+00:00,"to Markle and her varying recollections as the British courts were stupid enough to be in the Mail on Sunday case. Can we expect some drama to unfold to postpone and delay the process? Pregnancy, miscarriage, thoughts of suicide, severe depression?",-0.9569,en
2023-02-11 17:23:39+00:00,@YSLONIKA @orginalsy @TSxBEY @talkofthecharts Skjsksj she was pregnant in that photo so it’s not drag you thought it was coming to be 💀 https://t.co/MxCxXzpN4T,0.2334,en
2023-02-11 17:23:37+00:00,@KeeneStew @RedHeadedPat He never said he wasn't a man btw there's been a bounty on pictures of him pregnant with their children there ain't none so that answered the question for me,0.0,en
2023-02-11 17:23:32+00:00,@margari_r @playagotslayed @joncoopertweets Of course they can. They can use birth control and prevention if they do not want to start a family too. You act as if pregnancy has s unavoidable and that babies are a curse rather than a blessing.,-0.1336,en
2023-02-11 17:23:29+00:00,"https://t.co/oFlU0fk51j

HB 1 - allows for covering medical costs during pregnancy of an unwanted child
HB 75 &amp; SB 15 - removes definition of 'natural person' from unborn child",0.1531,en
2023-02-11 17:23:26+00:00,I always have the craziest dreams like ever since I can remember as a child.. but pregnancy really kicks it up a notch &amp; I wake up trippen 😅,0.3612,en
2023-02-11 17:23:26+00:00,@nguma__ Am not pregnant,0.0,tl
